Done Arranging Data, Took 0.009 seconds

Done Arranging Data, Took 0.010 seconds

Done with node:1, Took 5.015 seconds
Done with node:2, Took 3.096 seconds
Done with node:3, Took 4.243 seconds
Done with node:4, Took 2.691 seconds
Done with node:5, Took 3.264 seconds
Done with node:6, Took 1.537 seconds
Done with node:7, Took 4.087 seconds
Done with node:8, Took 2.231 seconds
Done with node:9, Took 3.006 seconds
Done with node:10, Took 1.439 seconds
Done Arranging Data, Took 0.004 seconds

Done with node:1, Took 5.095 seconds
Done with node:2, Took 5.367 seconds
Done with node:3, Took 5.200 seconds
Done with node:4, Took 5.305 seconds
Done with node:5, Took 5.066 seconds
Done with node:6, Took 5.050 seconds
Done with node:7, Took 4.014 seconds
Done with node:8, Took 4.042 seconds
Done with node:9, Took 2.382 seconds
Done with node:10, Took 1.446 seconds
Done Arranging Data, Took 0.005 seconds

Done with node:1, Took 5.033 seconds
Done with node:2, Took 5.351 seconds
Done with node:3, Took 5.279 seconds
Done with node:4, Took 5.387 seconds
Done with node:5, Took 5.122 seconds
Done with node:6, Took 5.052 seconds
Done with node:7, Took 4.147 seconds
Done with node:8, Took 3.962 seconds
Done with node:9, Took 2.416 seconds
Done with node:10, Took 1.439 seconds
Done Arranging Data, Took 0.004 seconds

Done with node:1, Took 17.326 seconds
Done with node:2, Took 15.114 seconds
Done with node:3, Took 16.145 seconds
Done with node:4, Took 17.014 seconds
Done with node:5, Took 16.696 seconds
Done with node:6, Took 14.721 seconds
Done with node:7, Took 16.957 seconds
Done with node:8, Took 15.970 seconds
Done with node:9, Took 15.997 seconds
Done with node:10, Took 15.535 seconds
Done Arranging Data, Took 0.002 seconds

Done with node:1, Took 1.674 seconds
Done with node:2, Took 4.790 seconds
Done with node:3, Took 2.854 seconds
Done with node:4, Took 1.503 seconds
Done with node:5, Took 2.689 seconds
Done with node:6, Took 2.516 seconds
Done with node:7, Took 1.888 seconds
Done with node:8, Took 4.697 seconds
Done with node:9, Took 3.352 seconds
Done with node:10, Took 1.325 seconds
Done Arranging Data, Took 0.001 seconds

Done with node:1, Took 1.673 seconds
Done with node:2, Took 4.722 seconds
Done with node:3, Took 2.819 seconds
