EndNodes_1,EndNodes_2,Weight
1,2,4.99026218127952e-05
1,3,0.000180567403582658
1,4,5.84507405410741e-05
1,8,5.86846890441461e-05
2,4,0.000747851470579791
2,8,0.000100067373366664
3,4,6.97356407534244e-05
5,4,0.00010004331173985
5,6,7.09302621008624e-05
6,4,0.000177581104587371
6,10,0.000144298208773898
7,4,0.000896899673104351
7,6,0.00129592163458627
7,10,0.0200427274243266
8,4,9.83622300224551e-05
9,4,0.000457584130609501
9,6,7.13008139535865e-05
10,3,8.04930408859103e-05
10,4,0.000779772867157443
10,6,5.58899517921932e-05
