Done Arranging Data, Took 0.066 seconds

Done with node:1, Took 40.304 seconds
Done with node:2, Took 45.689 seconds
Done with node:3, Took 39.501 seconds
Done with node:4, Took 25.597 seconds
Done with node:5, Took 7.545 seconds
Done with node:6, Took 6.456 seconds
Done with node:7, Took 37.229 seconds
Done with node:8, Took 5.092 seconds
Done with node:9, Took 6.234 seconds
Done with node:10, Took 5.607 seconds
Done with node:11, Took 39.756 seconds
Done with node:12, Took 26.130 seconds
Done with node:13, Took 43.828 seconds
Done with node:14, Took 48.209 seconds
Done with node:15, Took 7.065 seconds
Done with node:16, Took 40.486 seconds
Done with node:17, Took 40.336 seconds
Done with node:18, Took 21.659 seconds
Done with node:19, Took 37.392 seconds
Done with node:20, Took 33.185 seconds
