EndNodes_1,EndNodes_2,Weight
1,2,0.521745265429882
1,5,0.00675445432561052
1,9,0.00922690328391997
1,21,0.00672119562905412
1,22,0.0951710638868876
1,27,0.108290155340888
2,9,0.0255955321481488
2,14,0.0207831213401966
2,18,0.119500501695003
3,4,0.156448376797768
3,8,0.00895498265374152
4,17,0.440957495381857
5,4,0.0877484913012234
5,22,0.0505747813358155
5,27,0.082349538159821
6,24,0.0123409599721027
7,27,0.117470871458498
8,7,0.013765948703605
8,9,0.0144573774113359
8,11,0.122650502361844
8,15,0.205524978167045
8,22,0.0399350614168475
8,28,0.191040621829711
9,4,0.0218668261701293
9,13,0.0150148953493756
9,15,0.0118516457663311
9,20,0.646333508854903
9,25,0.0622404359498339
9,27,0.0162764637080838
10,11,0.0769277696902045
10,13,0.0827583238050131
10,19,0.0100064225443921
10,25,0.180536420106153
10,29,0.00734493037571661
10,30,0.0269489629122048
11,2,0.0266509550732513
11,15,0.119135843092188
13,3,0.0697067268529004
13,5,0.00936630516892726
13,8,0.0130591109944473
13,25,0.0117939618013309
14,6,0.186987309889491
14,17,0.0071575290824659
14,24,0.15475379775582
15,2,0.0210810264880581
15,9,0.0083291945507531
15,17,0.0067030964901076
15,28,0.00659745335452342
16,6,0.0459050353792166
17,27,0.00786683489434807
18,5,0.00926668130227843
18,14,0.0096871085013611
18,19,0.365281901968091
19,5,0.136932741450603
19,25,0.0118173536585435
20,13,0.304913424729325
20,25,0.105928376628287
21,26,0.0569052740383417
21,29,0.347937713843199
22,2,0.0100484483167139
22,21,0.121936824667803
22,27,0.0152976739122486
23,2,0.704008466910909
23,9,0.365974750441029
23,15,0.308531585790083
23,25,0.172392211172909
23,27,0.0155758711896091
24,1,0.0113641079911357
24,6,0.0657966745471305
24,7,0.0280582884409275
24,8,0.170157046215662
24,9,0.0260959358598547
25,5,0.00674487212187219
25,13,0.0196217000401014
25,15,0.0115624332188046
26,10,0.103388803154635
26,29,0.038942171130966
26,30,0.0478004417901427
27,22,0.0124313261752218
28,11,0.0339088467310358
28,15,0.00698127926195111
28,22,0.0170105582335499
28,26,0.0732410365620309
29,1,0.0665633414434131
29,15,0.0480960855469787
29,25,0.0851480721675192
29,26,0.0107201943567608
30,14,0.230838179883581
30,16,0.0115767549979984
30,17,0.06992943217527
