EndNodes_1,EndNodes_2,Weight
1,2,0.0038573
1,20,0.0047349
1,35,0.004561
2,1,0.014282
2,5,0.0031688
2,31,0.0044471
3,15,0.010131
3,29,0.011195
4,23,0.0068031
4,35,0.0056734
5,1,0.0029937
5,40,0.022615
6,1,0.025765
6,5,0.010904
6,10,0.0035827
6,20,0.0036039
6,35,0.0036447
7,1,0.0072765
7,34,0.0036152
10,14,0.0074262
11,13,0.028052
11,17,0.004033
11,19,0.014654
11,20,0.067166
11,25,0.0038322
11,26,0.005373
11,40,0.0034721
12,1,0.0047285
12,20,0.0054845
12,29,0.030041
12,31,0.22889
12,40,0.0044264
13,19,0.020231
15,3,0.0058946
15,10,0.003187
15,14,0.003399
15,20,0.0054655
15,22,0.0066136
15,27,0.0037086
15,28,0.0031899
15,29,0.0041703
15,34,0.0031965
15,36,0.0030579
15,37,0.013212
15,40,0.0043497
16,1,0.0086825
16,2,0.0035287
16,5,0.0093301
16,6,0.016538
16,7,0.0031642
16,10,0.0055504
16,14,0.0038626
16,20,0.0060301
16,28,0.0036668
16,29,0.0030809
16,30,0.0041598
16,40,0.011066
17,1,0.0044012
17,7,0.0041834
17,20,0.003446
17,25,0.011155
17,26,0.026436
17,28,0.0044587
17,32,0.021323
19,16,0.0097248
19,20,0.00601
19,23,0.0069896
19,28,0.0084921
19,30,0.015792
20,38,0.0080238
21,18,0.0098568
21,29,0.0049304
21,30,0.007969
22,1,0.0041046
22,3,0.0030566
22,6,0.0036222
22,15,0.0032464
22,20,0.0060059
22,26,0.0082242
22,29,0.0085328
22,30,0.0042455
22,37,0.0089291
23,10,0.0032509
23,30,0.006841
23,33,0.012607
24,13,0.02501
25,1,0.0033188
25,32,0.0035248
25,40,0.0051839
26,1,0.0070057
26,6,0.009266
26,20,0.0056214
26,32,0.0034183
26,40,0.0035923
27,14,0.0044448
27,19,0.011331
27,20,0.024741
27,21,0.006251
27,28,0.0034358
27,29,0.0031673
28,1,0.0032041
28,7,0.037731
28,19,0.0030439
28,20,0.010314
28,30,0.015448
29,20,0.0066118
30,1,0.0093603
30,3,0.0033586
30,6,0.0035048
30,7,0.049885
30,10,0.0036453
30,12,0.0065884
30,14,0.0034337
30,16,0.0030137
30,17,0.0036308
30,20,0.0048609
30,22,0.0033678
30,23,0.0036835
30,29,0.0049511
30,33,0.0033654
30,34,0.0056589
30,38,0.0055662
30,40,0.0051138
32,1,0.0082093
32,17,0.0033907
32,28,0.028037
33,3,0.012974
33,10,0.0089155
33,14,0.010686
33,15,0.046728
33,20,0.0048369
33,22,0.0038718
33,27,0.0094731
33,29,0.0034525
33,34,0.085871
33,40,0.049418
34,3,0.012878
34,15,0.012726
34,22,0.0050521
34,27,0.016014
35,5,0.0065772
35,16,0.0033375
35,27,0.017265
35,29,0.0084051
36,8,0.0040982
38,1,0.0066682
38,2,0.0033365
38,11,0.0087954
38,12,0.0072067
38,17,0.013209
38,19,0.010513
38,20,0.012767
38,26,0.003177
38,28,0.0030877
38,29,0.004324
38,30,0.011588
38,31,0.0043809
38,40,0.0050382
40,10,0.0068097
40,28,0.004296
